                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.785971   0.694767  0.642473  0.667598
1                                  Sadness  0.829137   0.699647  0.653465  0.675768
2                             Anticipation  0.907374   0.690821  0.785714  0.735219
3                                    Trust  0.884892   0.611111  0.434211  0.507692
4                                  Neutral  0.905576   0.422018  0.522727  0.467005
5                                 Surprise  0.938849   0.325000  0.240741  0.276596
6                                  Disgust  0.940647   0.357143  0.400000  0.377358
7                                    Anger  0.941547   0.256410  0.740741  0.380952
8                                     Fear  0.967626   0.269231  0.291667  0.280000
9                                   Reject  0.982014   0.533333  0.727273  0.615385
Weighted Average          Weighted Average  0.908363   0.485948  0.543901  0.498357
Non-weighted Average  Non-weighted Average  0.908363   0.774052  0.775362  0.774704
